store outreach-discovered.csv: 6197 domains (+832 new this run, 5365 before)
by source: {'search': 381, 'selectedfirms': 4743, 'semrush': 519, 'techbehemoths': 350, 'sortlist': 28, 'shopify': 481} | by market: {'us': 6077, 'australia': 120}
discovered 6197, verified before 340, to verify 5857
  100/5857 verified, 50s, with email so far: 198
  200/5857 verified, 72s, with email so far: 250
  300/5857 verified, 93s, with email so far: 314
  400/5857 verified, 135s, with email so far: 373
  500/5857 verified, 135s, with email so far: 428
  600/5857 verified, 158s, with email so far: 487
  700/5857 verified, 183s, with email so far: 547
  800/5857 verified, 235s, with email so far: 593
  900/5857 verified, 290s, with email so far: 650
  1000/5857 verified, 330s, with email so far: 714
  1100/5857 verified, 331s, with email so far: 781
  1200/5857 verified, 370s, with email so far: 842
  1300/5857 verified, 377s, with email so far: 900
  1400/5857 verified, 411s, with email so far: 963
  1500/5857 verified, 434s, with email so far: 1010
  1600/5857 verified, 448s, with email so far: 1061
  1700/5857 verified, 573s, with email so far: 1105
  1800/5857 verified, 573s, with email so far: 1153
  1900/5857 verified, 573s, with email so far: 1204
  2000/5857 verified, 573s, with email so far: 1261
  2100/5857 verified, 573s, with email so far: 1311
  2200/5857 verified, 592s, with email so far: 1352
  2300/5857 verified, 609s, with email so far: 1393
  2400/5857 verified, 647s, with email so far: 1450
  2500/5857 verified, 682s, with email so far: 1499
  2600/5857 verified, 682s, with email so far: 1547
  2700/5857 verified, 724s, with email so far: 1604
  2800/5857 verified, 724s, with email so far: 1653
  2900/5857 verified, 769s, with email so far: 1716
  3000/5857 verified, 785s, with email so far: 1778
  3100/5857 verified, 794s, with email so far: 1843
  3200/5857 verified, 814s, with email so far: 1902
  3300/5857 verified, 843s, with email so far: 1954
  3400/5857 verified, 868s, with email so far: 2002
  3500/5857 verified, 880s, with email so far: 2063
  3600/5857 verified, 910s, with email so far: 2134
  3700/5857 verified, 950s, with email so far: 2196
  3800/5857 verified, 955s, with email so far: 2265
  3900/5857 verified, 1006s, with email so far: 2331
  4000/5857 verified, 1028s, with email so far: 2394
  4100/5857 verified, 1045s, with email so far: 2457
  4200/5857 verified, 1080s, with email so far: 2503
  4300/5857 verified, 1102s, with email so far: 2565
  4400/5857 verified, 1102s, with email so far: 2625
  4500/5857 verified, 1138s, with email so far: 2687
  4600/5857 verified, 1138s, with email so far: 2745
  4700/5857 verified, 1224s, with email so far: 2795
  4800/5857 verified, 1224s, with email so far: 2848
  4900/5857 verified, 1224s, with email so far: 2909
  5000/5857 verified, 1224s, with email so far: 2958
  5100/5857 verified, 1303s, with email so far: 2984
  5200/5857 verified, 1315s, with email so far: 2996
  5300/5857 verified, 1335s, with email so far: 3056
  5400/5857 verified, 1367s, with email so far: 3105
  5500/5857 verified, 1384s, with email so far: 3157
  5600/5857 verified, 1414s, with email so far: 3212
  5700/5857 verified, 1433s, with email so far: 3251
  5800/5857 verified, 1454s, with email so far: 3310
verified 6197: reachable 5751, with email 3339, score>=70 with email 1708, offshore-flagged 1578
