domain,name,website,city,country,market,sources,tags,blurb,size,rate,found_at
thekids.eu,Kids (+ 9 reviews),http://www.thekids.eu,Sydney,Australia,australia,sortlist,web-design|web-development,,,,2026-09-20 22:01
1000heads.com,1000heads (+ reviews),https://1000heads.com/,Sydney,Australia,australia,sortlist,web-design|web-development,,,,2026-09-20 22:02
sdlccorp.com,SDLC Corp (+ 50 reviews),https://www.sdlccorp.com/,,Australia,australia,sortlist,ecommerce|web-development,,,,2026-09-20 22:02
codewave.com,"Codewave Technologies, Bengaluru",https://www.codewave.com,Sydney,Australia,australia,sortlist,ecommerce|web-development,,,,2026-09-20 22:03
clearwateragency.com.au,Clearwater Agency (+ 10 reviews),https://clearwateragency.com.au,Sydney,Australia,australia,sortlist,ecommerce,,,,2026-09-20 22:03
soupagency.com.au,"Soup Agency, Fortitude Valley",https://www.soupagency.com.au,Sydney,Australia,australia,sortlist,ecommerce,,,,2026-09-20 22:03
rewardinc.com.au,"Reward Design, Adelaide",https://www.rewardinc.com.au,,Australia,australia,sortlist,ecommerce|web-design,,,,2026-09-20 22:03
yoghurtdigital.com.au,"Yoghurt Digital, Sydney",https://www.yoghurtdigital.com.au,Sydney,Australia,australia,sortlist,ecommerce,,,,2026-09-20 22:03
sam-solutions.com,SaM Solutions,https://sam-solutions.com,,United States,us,sortlist,ecommerce|web-design|web-development,,,,2026-09-20 22:08
bluecell.es,Bluecell Comunicación,https://www.bluecell.es,,United States,us,sortlist,ecommerce|web-design|web-development,,,,2026-09-20 22:08
triare.net,TRIARE,https://triare.net/,,United States,us,sortlist,ecommerce|web-design|web-development,,,,2026-09-20 22:08
zetenta.com,Zetenta,https://www.zetenta.com,,United States,us,sortlist,ecommerce|web-design|web-development,,,,2026-09-20 22:08
halo-lab.com,Halo Lab,https://www.halo-lab.com,,United States,us,sortlist,web-design|web-development,,,,2026-09-20 22:08
agenciacontesta.com,ConTesta,https://www.agenciacontesta.com,,United States,us,sortlist,ecommerce|web-design|web-development,,,,2026-09-20 22:08
simpalm.com,Simpalm,https://www.simpalm.com/,Company - North Bethesda,United States,us,sortlist,ecommerce|web-design|web-development,,,,2026-09-20 22:08
instinctools.com,Instinctools,https://www.instinctools.com,Instinctools - Potomac,United States,us,sortlist,ecommerce|web-design|web-development,,,,2026-09-20 22:08
strawberrystudio.co,Strawberry Brand Studio,http://www.strawberrystudio.co,,United States,us,sortlist,web-design,,,,2026-09-20 22:08
webisoft.com,Webisoft,http://webisoft.com,,United States,us,sortlist,ecommerce|web-design|web-development,,,,2026-09-20 22:08
transformeddesign.com,"Transformed Design Inc., Oceanside",https://www.transformeddesign.com/,Design Inc. - Oceanside,United States,us,sortlist,ecommerce|web-design|web-development,,,,2026-09-20 22:08
boundify.io,Boundify,https://www.boundify.io,Boundify - Greenville,United States,us,sortlist,web-design,,,,2026-09-20 22:08
akveo.com,Akveo,https://www.akveo.com,Akveo - Austin,United States,us,sortlist,ecommerce|web-design|web-development,,,,2026-09-20 22:08
wunderdogs.co,Wunderdogs,http://wunderdogs.co,Wunderdogs - San Francisco,United States,us,sortlist,ecommerce|web-design,,,,2026-09-20 22:08
swcpartnership.com,SWC Partnership,https://swcpartnership.com/,,United States,us,sortlist,web-design|web-development,,,,2026-09-20 22:08
thesnowmedia.com,The Snow Media,https://thesnowmedia.com/,The Snow Media - Collier County,United States,us,sortlist,web-design,,,,2026-09-20 22:08
non-linear.studio,Non,https://non-linear.studio/,Non-Linear Studio - Snyderville,United States,us,sortlist,ecommerce|web-design,,,,2026-09-20 22:08
sociilabs.com,SociiLabs LLC,https://sociilabs.com,SociiLabs LLC - Sheridan,United States,us,sortlist,ecommerce|web-design|web-development,,,,2026-09-20 22:09
positivebrand.com,PositiveBrand,https://positivebrand.com,PositiveBrand - New York,United States,us,sortlist,web-design,,,,2026-09-20 22:09
tsmgo.es,TSMGO,http://www.tsmgo.es,,United States,us,sortlist,web-design|web-development,,,,2026-09-20 22:10
514digitalco.com,"514 Digital, Houston",https://514digitalco.com/,Digital - Houston,United States,us,sortlist,ecommerce|web-design,,,,2026-09-20 22:11
inspiratique.co,"INSPIRATIQUE, New York",http://www.inspiratique.co/,INSPIRATIQUE - New York,United States,us,sortlist,web-design|web-development,,,,2026-09-20 22:11
envazia.com,"Envazia Technologies, Kalispell",https://Envazia.com,Technologies - Kalispell,United States,us,sortlist,web-design,,,,2026-09-20 22:11
a360z.io,"A360Z, New York",https://www.A360Z.io,Z - New York,United States,us,sortlist,web-design,,,,2026-09-20 22:12
cxdesigns.net,"CXDesigns, Atlanta",https://cxdesigns.net,CXDesigns - Atlanta,United States,us,sortlist,ecommerce|web-design,,,,2026-09-20 22:12
blackrabbitaigency.com,"Black Rabbit AIgency, Coral Gables",http://www.blackrabbitaigency.com,Rabbit AIgency - Coral Gables,United States,us,sortlist,web-design,,,,2026-09-20 22:12
nexila.agency,"Nexila.agency, Casper",https://nexila.agency/,Nexila.agency - Casper,United States,us,sortlist,ecommerce|web-design|web-development,,,,2026-09-20 22:12
sembyotic.com,"Sembyotic, San Jose",https://sembyotic.com,Sembyotic - San Jose,United States,us,sortlist,web-design,,,,2026-09-20 22:13
pastilla.co,"Pastilla, Pasadena",https://pastilla.co/,Pastilla - Pasadena,United States,us,sortlist,web-design,,,,2026-09-20 22:13
webernetic-family.com,✅ Webernetic,https://webernetic-family.com/,,United States,us,sortlist,web-design,,,,2026-09-20 22:15
agenciadigitalamd.com,Agencia de Marketing Digital AMD 🚀,https://agenciadigitalamd.com/,,United States,us,sortlist,web-design,,,,2026-09-20 22:15
viraledgeagency.com,"VIRAL EDGE GLOBAL, Denver",https://viraledgeagency.com,VIRAL EDGE GLOBAL - Denver,United States,us,sortlist,ecommerce|web-design|web-development,,,,2026-09-20 22:15
8gnc.io,"8gnc (Branded Mayhem Collective LLC), Richardson",https://8gnc.io,Richardson,United States,us,sortlist,web-design,,,,2026-09-20 22:15
neastudio.xyz,Nea Studio,https://www.neastudio.xyz,,United States,us,sortlist,web-design|web-development,,,,2026-09-20 22:16
coaxsoft.com,COAX Software,https://coaxsoft.com/,,United States,us,sortlist,ecommerce|web-design|web-development,,,,2026-09-20 22:17
databay.solutions,Databay Solutions,https://databay.solutions/,,United States,us,sortlist,ecommerce|web-design|web-development,,,,2026-09-20 22:21
webtonic.io,Web Tonic,https://webtonic.io,Sydney,United States,us,sortlist,web-design,,,,2026-09-20 22:33
amazecodes.com,"Amazecodes Solutions Pvt Ltd, Bengaluru",https://amazecodes.com/,,United States,us,sortlist,ecommerce|web-design|web-development,,,,2026-09-20 22:36
integrio.net,"Integrio Systems, Vancouver",https://integrio.net,,United States,us,sortlist,web-design|web-development,,,,2026-09-20 22:37
teragroup.com.ua,Tera Group,https://teragroup.com.ua/en,,United States,us,sortlist,ecommerce|web-development,,,,2026-09-20 22:38
chudovo.de,Chudovo OÜ,https://chudovo.de/,,United States,us,sortlist,ecommerce|web-development,,,,2026-09-20 22:38
designli.co,Designli,https://designli.co,Designli - Greenville,United States,us,sortlist,web-development,,,,2026-09-20 22:38
debutinfotech.com,Debut Infotech,https://www.debutinfotech.com,,United States,us,sortlist,web-development,,,,2026-09-20 22:38
osmos.co,OSMOS,https://www.osmos.co,OSMOS - New York,United States,us,sortlist,web-development,,,,2026-09-20 22:38
42dm.net,"42DM, Tenafly",https://42dm.net,DM - Tenafly,United States,us,sortlist,web-development,,,,2026-09-20 22:38
codroon.com,"Codroon, Farmers Branch",https://www.codroon.com/,Codroon - Farmers Branch,United States,us,sortlist,ecommerce|web-development,,,,2026-09-20 22:38
future-processing.com,"Future Processing, Gliwice",https://www.future-processing.com,,United States,us,sortlist,web-development,,,,2026-09-20 22:38
digitizehq.com,"Digitize HQ, Miami",https://digitizehq.com,Digitize HQ - Miami,United States,us,sortlist,ecommerce|web-development,,,,2026-09-20 22:38
foonkiemonkey.co.uk,"Foonkie Monkey, Miami",https://www.foonkiemonkey.co.uk,Foonkie Monkey - Miami,United States,us,sortlist,web-development,,,,2026-09-20 22:38
luby.co,Luby,http://luby.co,Luby - Miami,United States,us,sortlist,web-development,,,,2026-09-20 22:39
incora.software,"INCORA, Sussex County",https://incora.software/,INCORA - Sussex County,United States,us,sortlist,web-development,,,,2026-09-20 22:39
ascentcore.com,"AscentCore, Reston",https://www.ascentcore.com,AscentCore - Reston,United States,us,sortlist,web-development,,,,2026-09-20 22:39
brownstonebrands.com,Brownstone Brands,https://brownstonebrands.com/,,United States,us,sortlist,ecommerce,,,,2026-09-20 23:10
clickoptimizer.net,"Click Optimizer, LLC, Providence",https://clickoptimizer.net,LLC - Providence,United States,us,sortlist,ecommerce,,,,2026-09-20 23:10
doptus.com,DOPTUS,https://www.doptus.com,,United States,us,sortlist,ecommerce,,,,2026-09-20 23:10
sellwithmarketing.com,Sell with Marketing,https://sellwithmarketing.com/,,United States,us,sortlist,ecommerce,,,,2026-09-20 23:11
6cmarketing.com,"Draidel LLC, Miami",http://www.6cmarketing.com,Draidel LLC - Miami,United States,us,sortlist,ecommerce,,,,2026-09-20 23:12
skitsolutionbd.com,"SK IT SOLUTION BD, Yonkers",https://www.skitsolutionbd.com,SK IT SOLUTION BD - Yonkers,United States,us,sortlist,ecommerce,,,,2026-09-20 23:12
olifantdigital.com,Olifant Digital,https://olifantdigital.com/,,United States,us,sortlist,ecommerce,,,,2026-09-20 23:19
joulsagency.com,"JOULS, Bogotá",https://joulsagency.com,,United States,us,sortlist,ecommerce,,,,2026-09-20 23:19
