store outreach-discovered.csv: 23469 domains (+11088 new this run, 12381 before)
by source: {'search': 3652, 'semrush': 665, 'techbehemoths': 14741, 'selectedfirms': 5532, 'shopify': 1292, 'sortlist': 68} | by market: {'us': 21093, 'australia': 2376}
discovered 23469, verified before 12381, to verify 11089
  100/11089 verified, 39s, with email so far: 5595
  200/11089 verified, 202s, with email so far: 5613
  300/11089 verified, 203s, with email so far: 5623
  400/11089 verified, 205s, with email so far: 5629
  500/11089 verified, 208s, with email so far: 5641
  600/11089 verified, 218s, with email so far: 5665
  700/11089 verified, 219s, with email so far: 5676
  800/11089 verified, 259s, with email so far: 5688
  900/11089 verified, 269s, with email so far: 5709
  1000/11089 verified, 304s, with email so far: 5743
  1100/11089 verified, 304s, with email so far: 5787
  1200/11089 verified, 385s, with email so far: 5831
  1300/11089 verified, 402s, with email so far: 5870
  1400/11089 verified, 403s, with email so far: 5907
  1500/11089 verified, 468s, with email so far: 5947
  1600/11089 verified, 468s, with email so far: 5985
  1700/11089 verified, 489s, with email so far: 6026
  1800/11089 verified, 559s, with email so far: 6063
  1900/11089 verified, 560s, with email so far: 6101
  2000/11089 verified, 563s, with email so far: 6129
  2100/11089 verified, 643s, with email so far: 6166
  2200/11089 verified, 643s, with email so far: 6196
  2300/11089 verified, 664s, with email so far: 6232
  2400/11089 verified, 665s, with email so far: 6269
  2500/11089 verified, 746s, with email so far: 6309
  2600/11089 verified, 746s, with email so far: 6346
  2700/11089 verified, 801s, with email so far: 6375
  2800/11089 verified, 845s, with email so far: 6413
  2900/11089 verified, 870s, with email so far: 6450
  3000/11089 verified, 906s, with email so far: 6482
  3100/11089 verified, 910s, with email so far: 6510
  3200/11089 verified, 929s, with email so far: 6549
  3300/11089 verified, 961s, with email so far: 6578
  3400/11089 verified, 1021s, with email so far: 6619
  3500/11089 verified, 1022s, with email so far: 6661
  3600/11089 verified, 1039s, with email so far: 6695
  3700/11089 verified, 1107s, with email so far: 6735
  3800/11089 verified, 1109s, with email so far: 6772
  3900/11089 verified, 1168s, with email so far: 6805
  4000/11089 verified, 1169s, with email so far: 6842
  4100/11089 verified, 1170s, with email so far: 6877
  4200/11089 verified, 1226s, with email so far: 6918
  4300/11089 verified, 1227s, with email so far: 6952
  4400/11089 verified, 1228s, with email so far: 6983
  4500/11089 verified, 1307s, with email so far: 7021
  4600/11089 verified, 1309s, with email so far: 7061
  4700/11089 verified, 1363s, with email so far: 7091
  4800/11089 verified, 1370s, with email so far: 7132
  4900/11089 verified, 1422s, with email so far: 7178
  5000/11089 verified, 1468s, with email so far: 7213
  5100/11089 verified, 1487s, with email so far: 7253
  5200/11089 verified, 1487s, with email so far: 7298
  5300/11089 verified, 1516s, with email so far: 7324
  5400/11089 verified, 1550s, with email so far: 7357
  5500/11089 verified, 1604s, with email so far: 7397
  5600/11089 verified, 1615s, with email so far: 7435
  5700/11089 verified, 1665s, with email so far: 7459
  5800/11089 verified, 1710s, with email so far: 7496
  5900/11089 verified, 1711s, with email so far: 7533
  6000/11089 verified, 1722s, with email so far: 7572
  6100/11089 verified, 1798s, with email so far: 7606
  6200/11089 verified, 1824s, with email so far: 7640
  6300/11089 verified, 1824s, with email so far: 7669
  6400/11089 verified, 1887s, with email so far: 7697
  6500/11089 verified, 1913s, with email so far: 7732
  6600/11089 verified, 1916s, with email so far: 7766
  6700/11089 verified, 1984s, with email so far: 7800
  6800/11089 verified, 2035s, with email so far: 7827
  6900/11089 verified, 2036s, with email so far: 7865
  7000/11089 verified, 2069s, with email so far: 7899
